startX,bin,pins
933.5,bin6,'pinR2C9|pinR1C9|pinR2C9|pinR3C9|pinR4C8|pinR6C7|pinR10C5|pinR10C4|pinR9C5|pinR8C4|pinR10C4|pinR11C5|'
825.5,bin5,'pinR2C8|pinR2C7|pinR4C8|pinR5C9|pinR5C8|pinR6C8|pinR8C7|pinR7C7|pinR8C7|pinR9C7|pinSep5|sep|sep|'
701.5,bin2,'pinR1C7|pinR1C8|pinR3C7|pinR3C8|pinR4C7|pinR7C6|pinR6C5|pinR7C6|pinR8C5|pinR8C4|pinR10C4|pinR9C4|pinR10C3|pinSep3|pinSep2|sep|'
886.5,bin9,'pinR1C9|pinR2C8|pinR2C8|pinR3C9|pinR5C10|pinR4C10|pinR6C10|pinR6C10|pinR7C10|pinR7C9|pinR9C9|pinR8C9|pinR10C9|pinR10C10|pinR11C10|pinR11C10|pinSep9|sep|'
125.5,bin4,'pinR2C1|wall|pinR4C1|pinR4C2|pinR5C2|pinR6C2|pinR6C2|pinR6C2|pinR7C2|pinR9C3|pinR9C2|pinR10C2|pinR11C3|pinR10C3|'
782.5,bin11,'pinR1C8|pinR3C7|pinR4C6|pinR4C7|pinR6C7|pinR5C8|pinR7C8|pinR8C7|pinR9C8|pinR10C8|pinR9C9|pinR10C9|pinR9C10|pinR10C9|pinSep10|'
418.5,bin8,'pinR2C4|pinR3C4|pinR3C4|pinR4C3|pinR4C4|pinR5C4|pinR7C5|pinSep7|sep|pinSep8|sep|pinSep7|'
866.5,bin5,'pinR1C9|pinR2C8|pinR2C9|pinR4C8|pinR4C8|pinR4C8|pinR5C9|pinR6C8|pinR6C8|pinR7C8|pinR9C7|pinR11C6|pinR11C5|sep|pinSep4|'
517.5,bin4,'pinR2C5|pinR3C5|pinR3C5|pinR3C5|pinR3C5|pinR3C5|pinR4C4|pinR5C5|pinR8C6|pinR7C7|pinR9C6|pinR10C4|sep|'
677.5,bin10,'pinR1C7|pinR1C6|pinR2C6|pinR5C8|pinR4C8|pinR5C8|pinR7C9|pinR6C9|pinR7C10|pinR8C9|pinR8C9|pinR9C10|pinR10C10|pinR11C11|wallsep|pinSep10|sep|'
163.5,bin1,'pinR2C1|pinR4C1|pinR6C1|pinR7C2|pinR8C1|pinR7C1|wall|pinR10C1|pinR9C2|pinR10C2|pinR11C2|pinSep1|wallsep|'
96.5,bin1,'pinR1C1|pinR1C2|pinR2C1|pinR3C1|leftwall|wall|pinR5C1|pinR5C2|pinR7C1|wall|pinR10C1|pinR9C2|pinR10C1|pinR11C2|wallsep|'
1136.5,bin11,'wall|pinR5C10|pinR4C9|pinR7C11|pinR6C10|pinR8C10|wall|rightwall|pinR9C11|pinR11C11|pinR11C10|pinSep10|sep|'
832.5,bin9,'pinR2C8|pinR1C8|pinR2C8|pinR2C8|pinR3C8|pinR4C8|pinR6C9|pinR5C10|pinR7C10|pinR9C9|pinR9C8|pinR11C9|pinR11C10|'
233.5,bin1,'pinR2C2|pinR1C2|pinR2C2|pinR3C2|wall|pinR6C1|wall|leftwall|pinR10C1|pinR11C2|pinR10C2|'
1137.5,bin11,'wall|pinR5C10|pinR4C9|pinR5C10|pinR5C10|pinR6C9|pinR8C10|pinR7C10|pinR9C10|pinR10C10|pinR10C9|pinR11C10|'
347.5,bin6,'pinR2C3|pinR1C4|pinR3C4|pinR3C4|pinR4C4|pinR5C5|pinR5C6|pinR7C5|pinR6C4|pinR7C4|pinR8C4|pinR8C4|pinR9C4|pinR10C4|'
434.5,bin4,'pinR2C4|pinR1C4|pinR10C4|sep|pinSep4|'
568.5,bin7,'pinR1C6|pinR2C5|pinR1C6|pinR2C6|pinR4C6|pinR7C6|pinR8C6|pinR9C6|pinR8C5|pinR7C5|pinR9C5|'
802.5,bin10,'pinR1C8|pinR1C9|pinR3C8|pinR2C7|pinR4C7|pinR4C8|pinR6C8|pinR5C9|pinR7C9|pinR7C9|pinR8C9|pinR8C10|pinR11C11|wallsep|'
685.5,bin5,'pinR1C7|pinR3C6|pinR2C5|pinR4C5|pinR5C6|pinR7C5|pinR7C4|pinR6C3|pinR7C4|pinR8C3|pinR9C4|pinR9C5|pinR11C5|pinR10C5|pinSep5|'
936.5,bin10,'pinR2C9|pinR1C9|pinR4C9|pinR5C9|pinR8C10|wall|pinR10C10|pinR10C9|pinSep10|pinSep10|sep|sep|'
545.5,bin7,'pinR2C5|pinR1C6|pinR2C5|pinR2C5|pinR3C5|pinR4C5|pinR5C6|pinR4C5|pinR6C5|pinR6C6|pinR7C6|pinR9C7|pinR10C7|pinR10C6|pinR11C7|pinR11C7|pinSep6|sep|'
240.5,bin4,'pinR2C2|pinR2C2|pinR4C3|pinR3C3|pinR5C3|pinR5C4|pinR8C4|pinR7C5|pinR8C4|pinR10C5|pinR10C5|pinSep4|pinSep3|'
781.5,bin5,'pinR1C8|pinR1C7|pinR3C7|pinR4C7|pinR4C6|pinR5C7|pinR6C7|pinR5C7|pinR7C7|pinR8C7|pinR8C6|pinR10C6|pinR9C6|pinR11C6|pinR11C6|pinR11C6|pinSep5|pinSep5|pinSep5|sep|'
273.5,bin3,'pinR1C3|pinR5C1|wall|pinR7C2|pinR6C2|pinR7C2|pinR9C2|pinR10C2|pinR11C2|sep|'
709.5,bin8,'pinR1C7|pinR3C8|pinR4C8|pinR4C9|pinR3C10|pinR4C9|pinR4C9|pinR5C10|pinR7C9|pinR7C10|pinR9C9|pinR9C10|pinR10C9|pinR11C9|pinR11C9|pinSep8|sep|pinSep7|'
